Id,SalePrice
2658,140493.40155485386
2718,151243.63259042543
2414,214428.9714108217
1989,106399.4052362959
625,172145.80789884552
333,103782.77181720859
1327,109938.0444832474
858,149607.40653447717
95,177569.87999805034
1568,167034.73315703237
2482,157863.02627299464
1364,131535.18335054925
2584,150907.46167304096
818,282923.60913187725
2673,148179.56348118722
2089,130680.40328975067
1297,146052.57203027536
790,119236.94847246144
2616,180644.4878358087
720,186912.51043809557
222,151899.91687766643
557,127665.77621309366
1148,181452.73681115796
2766,169856.11157681502
534,181392.33612827386
1452,129996.91463488825
630,125723.75897932239
2648,114959.47662220948
125,159117.66641639444
1904,79943.12483836764
1670,115972.72646344754
756,110485.4282107884
717,184574.30545130832
1032,154817.76842635812
852,203239.74525678513
1731,185807.4257281291
2639,109385.17623094232
2071,96885.89602221175
1267,128850.65124812195
1851,174016.58037761162
567,159949.3034511307
2439,198243.603372088
1898,146284.79406456652
647,162633.85422597677
2256,211506.6001825992
979,100086.26483214322
1444,216638.70013567584
2485,121928.01978387905
157,138241.7637386504
88,126369.51378527621
2003,113695.00948050167
186,204443.3694790115
1425,229725.80366195162
2695,128247.95757144789
738,113393.55012710189
395,161757.94802271298
1353,158864.03023560566
1878,138110.076519556
390,165702.99586855582
1456,229043.54899714302
1103,283286.54967033415
1387,114862.73294255834
2070,143630.12716383656
1199,184668.3513785595
2479,174835.72829547315
501,266525.4563875766
2362,106937.05238768694
1718,180756.88864468
2188,94510.38019647708
1483,160003.8655719138
2557,104118.78358008666
437,330697.1295890982
2224,179251.5162661894
1628,174394.09809124636
397,141868.1500390744
587,184308.09487371062
971,138446.52125186508
2611,146632.7987295996
1887,110195.00945838104
2399,307141.68530859554
2148,189752.51421851557
304,123745.63972201821
1997,133319.349372066
2817,123272.20767450197
1431,186579.31505180773
427,277562.30206374306
263,134225.64026859507
598,168755.45798144044
2895,206066.76673693355
687,152600.5704863092
1822,138313.56601328476
2191,109168.92601580369
179,122988.84405718706
1009,201572.30012339127
2010,134016.21212612465
1991,136571.47828293373
1411,154303.48432820666
1721,205029.04352816648
1144,187484.54972124886
593,226017.66043487034
575,285113.27964692016
1249,165440.1017713238
1604,132743.87774671445
1064,473104.91438866913
1923,149302.73304751125
1988,117024.33737920335
2325,174249.89326637433
114,192644.7730468923
2700,159827.64617108775
217,124210.75849217927
343,166370.06539569414
386,218889.57593616837
2005,115745.80171202093
2908,138788.4864698671
1814,217438.00228857357
2446,500337.19802238664
208,141749.74941360715
1679,119986.03779010977
822,288326.2053407969
6,192733.22505970477
1781,337945.0564362659
2397,269564.0017976843
2340,273455.68611213693
1618,181391.26907285332
2843,123747.18715813705
1061,321763.2483003014
2786,133027.75019810372
1935,139206.59163293292
1341,127065.48771410008
521,253408.0810141725
2136,144428.24724697002
996,202788.76915816925
227,150482.46505073557
135,176122.33533531858
1167,158575.25805207464
294,226776.8887495727
1776,190106.3831905097
540,169702.6406607298
1717,187381.95218848766
2303,139185.9457445548
116,184308.31810008682
127,138269.6848908727
1371,138838.9888744684
1014,131921.27945862818
1507,116548.4879338439
702,130619.93968534068
750,143890.24478127586
261,162054.54864249958
1559,84662.89336630465
577,184808.80539454627
2812,193269.00795804488
2080,150556.85756096165
1368,111010.60963598311
2376,133120.08233876512
659,112172.41146829199
1235,137845.5788107202
332,94048.97686952139
1917,147777.22153321846
2094,233958.9541239291
1460,246491.32876990447
1471,208436.54367253304
1509,129889.79066440377
1922,135015.80486776866
433,403652.8405687133
460,223864.05252117422
1116,230262.4871011233
1137,161996.78841783892
53,174507.00907691233
2354,237424.46293158404
1475,190170.568114448
1761,583175.7601776471
842,146825.70211622096
2739,139037.55982463984
2509,156084.0358827205
1007,200541.810471893
2610,178327.46435506875
1952,98947.70864967456
2719,154893.39367310284
2921,100760.2882725257
1966,136151.76330198112
292,110478.15393804654
1204,182147.6126735143
1829,184967.89601054916
2419,187012.6631633103
391,149788.71563024473
798,121934.22873672692
481,201553.52747630078
193,180575.72158047324
555,126346.36140575728
899,84090.38442203285
2357,190799.19387366914
328,133462.21399973796
1356,123434.64145929195
1154,120747.70185714074
1730,177712.8199082025
2249,162291.99985311975
1119,266041.9635935033
2856,133985.1395654756
1394,135692.93571467846
2587,130497.67204217328
61,287272.7826250903
2661,165507.4443993106
2711,142775.4605364104
1147,175741.10337797026
757,131132.23640321585
2623,103859.07828681062
2378,147422.50387943353
1413,129552.44134419644
1722,205280.8917987899
1112,207723.68756682516
1623,194368.77164181072
1201,184187.5089566151
1513,115124.59813158587
957,381487.63264998194
1171,244699.1319194882
1145,193907.85834210212
2726,225454.72288868247
703,153016.6710014526
760,97325.13696788983
1964,144067.75449424205
2512,178385.2529410629
159,147590.28557744744
1281,168328.67773212257
468,183462.2812328593
290,132955.50368701006
665,100708.21837789759
1463,238732.1710345223
1792,214319.52149614124
923,142417.72012374146
500,238344.4463742713
1408,161238.46414439467
331,94256.83199688821
170,117227.83841820616
2192,106238.84572479743
2571,242900.35854311552
2314,178581.45292321398
2647,97437.22970926248
422,368783.8121692961
2457,281173.2820614992
1838,179587.60120266475
2805,235366.3738542636
1645,163008.25315114716
1711,271277.92398663284
2825,218280.6951155421
322,281864.7603410013
2103,238159.06401003222
342,126095.60636008444
600,128218.24238520153
488,182968.50097312275
1725,255723.4738102768
2246,268075.94061888737
2847,154196.98349520826
806,232380.59685715835
530,219709.54662911582
963,183230.27676763386
2678,103083.9775090802
171,95012.43855454231
2401,404523.956945137
805,216611.86364408972
2259,225318.62797086439
1748,188932.58114956188
1361,139421.1672449418
1677,121791.75987954605
1406,132007.42876782027
2322,224243.6121100013
688,150912.3091735965
143,142681.93796079213
804,205526.15244338664
1214,157200.35545652933
2828,129800.99357705294
1999,171597.28333753787
2467,191538.2406424831
2665,148756.29285421016
1538,437430.504568871
398,123647.58377593741
2822,133546.74040772495
2157,154334.89992278395
1856,176512.97274460283
1269,113120.43688158166
2570,121247.34843317981
2320,228535.07235414843
1517,131910.10411499444
2304,127000.8533700634
1312,106725.24679291854
2012,142769.6871241756
506,233260.36022071601
2865,224970.43311387498
2367,115211.32794833335
554,95499.41484290226
238,130587.06860628551
1954,125966.78026874436
2488,145309.40596112976
2291,94112.41204954014
1969,113042.19413730479
2725,156510.58674486447
1482,157949.33748603737
2763,192613.47241018646
503,230104.37883427492
1584,231740.9835813126
1531,135163.2661377389
2210,161875.74498302344
459,280107.0119628307
556,134804.63226038677
1347,128173.52746401541
1290,94601.25584468678
1388,112848.14945062547
1571,290639.6986825728
2754,188002.7043081435
765,133332.37158010306
2494,129060.29627995648
